"Name","Slope","Intercept","Equation"
"Durable goods",0.269336213490087,-543.385810716251,"y = 0.2693x + -543.3858"
"Computer and electronic products2",0.26912942585692,-542.968616666335,"y = 0.2691x + -542.9686"
"Manufacturing",0.26891704738686,-542.540143102989,"y = 0.2689x + -542.5401"
"Federal",0.263440336994494,-531.490879886392,"y = 0.2634x + -531.4909"
"General government",0.263433780763363,-531.477652690085,"y = 0.2634x + -531.4777"
"Government5",0.260534614965305,-525.628585692504,"y = 0.2605x + -525.6286"
"Real estate",0.257730893729115,-519.972078098489,"y = 0.2577x + -519.9721"
"Other real estate",0.257049942859311,-518.598259718659,"y = 0.257x + -518.5983"
"Real estate and rental and leasing",0.253651050476754,-511.74099433685,"y = 0.2537x + -511.741"
"National defense",0.252849870328715,-510.124613388182,"y = 0.2528x + -510.1246"
"General merchandise stores",0.251677353389169,-507.759060462648,"y = 0.2517x + -507.7591"
"Administrative and waste management services",0.249424431785726,-503.213791127702,"y = 0.2494x + -503.2138"
"Administrative and support services",0.24933401763309,-503.031380574758,"y = 0.2493x + -503.0314"
"Retail trade",0.248977245866027,-502.31159353471,"y = 0.249x + -502.3116"
"Computer systems design and related services",0.248734788114075,-501.822435020147,"y = 0.2487x + -501.8224"
"Other retail",0.247448827599103,-499.228009681191,"y = 0.2474x + -499.228"
"State and local",0.235555777158066,-475.233780416398,"y = 0.2356x + -475.2338"
"General government",0.235555777158066,-475.233780416398,"y = 0.2356x + -475.2338"
"Educational services, health care, and social assistance",0.235266949938827,-474.651071501584,"y = 0.2353x + -474.6511"
"Other services, except government",0.23433530609422,-472.771480045089,"y = 0.2343x + -472.7715"
"Educational services",0.232485563158083,-469.039623671432,"y = 0.2325x + -469.0396"
"Rental and leasing services and lessors of intangible assets",0.229129525256653,-462.268817205298,"y = 0.2291x + -462.2688"
"Housing",0.227245829500314,-458.468461016884,"y = 0.2272x + -458.4685"
"Data processing, internet publishing, and other information services",0.225446972910186,-454.839267846299,"y = 0.2254x + -454.8393"
"Ambulatory health care services",0.221118884157697,-446.107348788153,"y = 0.2211x + -446.1073"
