"Name","Slope","Intercept","Equation"
"Transit and ground passenger transportation",0.275615154137579,-556.053573472565,"y = 0.2756x + -556.0536"
"Oil and gas extraction",0.273703252073752,-552.196311058794,"y = 0.2737x + -552.1963"
"Mining",0.273333497143972,-551.450330487963,"y = 0.2733x + -551.4503"
"Professional, scientific, and technical services",0.272868990256301,-550.513187842086,"y = 0.2729x + -550.5132"
"Professional and business services",0.272850312414545,-550.475505296344,"y = 0.2729x + -550.4755"
"Support activities for mining",0.27281799252157,-550.410299912267,"y = 0.2728x + -550.4103"
"Miscellaneous professional, scientific, and technical services",0.272411012819577,-549.589218363497,"y = 0.2724x + -549.5892"
"Management of companies and enterprises",0.27210273256259,-548.967262945025,"y = 0.2721x + -548.9673"
"Printing and related support activities",0.271947743020847,-548.654571544558,"y = 0.2719x + -548.6546"
"Motion picture and sound recording industries",0.271910183545045,-548.578795302129,"y = 0.2719x + -548.5788"
"Machinery",0.271805062880365,-548.366714361137,"y = 0.2718x + -548.3667"
"Health care and social assistance",0.271685576940584,-548.125651477629,"y = 0.2717x + -548.1257"
"Hospitals",0.27161151090937,-547.976223259654,"y = 0.2716x + -547.9762"
"Mining, except oil and gas",0.271592877178102,-547.938629706821,"y = 0.2716x + -547.9386"
"Plastics and rubber products",0.271483656967983,-547.718277932906,"y = 0.2715x + -547.7183"
"Wood products",0.271450914574528,-547.652220154111,"y = 0.2715x + -547.6522"
"Furniture and related products",0.271313290693089,-547.374563973306,"y = 0.2713x + -547.3746"
"Apparel and leather and allied products",0.271254283549401,-547.255517060916,"y = 0.2713x + -547.2555"
"Food and beverage and tobacco products",0.271176193809809,-547.097971011289,"y = 0.2712x + -547.098"
"Paper products",0.271175580423223,-547.096733503853,"y = 0.2712x + -547.0967"
"Textile mills and textile product mills",0.271167512635025,-547.080456741163,"y = 0.2712x + -547.0805"
"Nonmetallic mineral products",0.271138258547473,-547.021436619526,"y = 0.2711x + -547.0214"
"Miscellaneous manufacturing",0.271136344427213,-547.017574881902,"y = 0.2711x + -547.0176"
"Petroleum and coal products",0.271088670063079,-546.921391852262,"y = 0.2711x + -546.9214"
"Data processing, internet publishing, and other information services",0.270608117026778,-545.951876101524,"y = 0.2706x + -545.9519"
"Information",0.27012311215513,-544.973378772974,"y = 0.2701x + -544.9734"
"Broadcasting and telecommunications4",0.270100211550424,-544.927176802981,"y = 0.2701x + -544.9272"
"Fabricated metal products",0.269954703299547,-544.633613906835,"y = 0.27x + -544.6336"
"Publishing industries, except internet (includes software)",0.269948967919017,-544.622042776616,"y = 0.2699x + -544.622"
"Nondefense",0.26952076998891,-543.758153452625,"y = 0.2695x + -543.7582"
"Educational services, health care, and social assistance",0.268773209352309,-542.249949868283,"y = 0.2688x + -542.2499"
"Administrative and support services",0.268352588986009,-541.401348279273,"y = 0.2684x + -541.4013"
"Administrative and waste management services",0.268320016081501,-541.335632444428,"y = 0.2683x + -541.3356"
"Educational services",0.268301777056646,-541.298835211783,"y = 0.2683x + -541.2988"
"General government",0.266798558033285,-538.266090832153,"y = 0.2668x + -538.2661"
"Federal",0.266797982412562,-538.264929517344,"y = 0.2668x + -538.2649"
"Government5",0.266509791172769,-537.683503691061,"y = 0.2665x + -537.6835"
"Performing arts, spectator sports, museums, and related activities",0.265967123632287,-536.58867192814,"y = 0.266x + -536.5887"
"Arts, entertainment, and recreation",0.265966222337366,-536.586853565636,"y = 0.266x + -536.5869"
"Arts, entertainment, recreation, accommodation, and food services",0.265928337168467,-536.510420237382,"y = 0.2659x + -536.5104"
"Securities, commodity contracts, and investments",0.265643181185517,-535.93511804178,"y = 0.2656x + -535.9351"
"Funds, trusts, and other financial vehicles",0.264717884402636,-534.068331782318,"y = 0.2647x + -534.0683"
"Nondurable goods",0.263511683365645,-531.634821190188,"y = 0.2635x + -531.6348"
"Food services and drinking places",0.261857079598731,-528.29665809044,"y = 0.2619x + -528.2967"
"Food and beverage stores",0.261802227863837,-528.18599471529,"y = 0.2618x + -528.186"
"Other real estate",0.259717456317599,-523.979968120756,"y = 0.2597x + -523.98"
"Real estate",0.259350296216688,-523.239222617167,"y = 0.2594x + -523.2392"
"Construction",0.259153135408121,-522.841450685884,"y = 0.2592x + -522.8415"
"Pipeline transportation",0.257888164856578,-520.289372598146,"y = 0.2579x + -520.2894"
"Housing",0.257429469669038,-519.363955057284,"y = 0.2574x + -519.364"
"Finance, insurance, real estate, rental, and leasing",0.257307136189029,-519.117147261365,"y = 0.2573x + -519.1171"
"Finance and insurance",0.257273017902903,-519.048313619107,"y = 0.2573x + -519.0483"
"Other transportation and support activities",0.256833830478754,-518.162252990886,"y = 0.2568x + -518.1623"
"Insurance carriers and related activities",0.255013358383347,-514.489450538403,"y = 0.255x + -514.4895"
"Warehousing and storage",0.253829859403278,-512.101741346114,"y = 0.2538x + -512.1017"
"Primary metals",0.252873937395589,-510.173168695602,"y = 0.2529x + -510.1732"
"National defense",0.251165154258085,-506.725698715686,"y = 0.2512x + -506.7257"
"Other transportation equipment3",0.250186113032366,-504.750483042798,"y = 0.2502x + -504.7505"
"Rail transportation",0.245770528554994,-495.842041359701,"y = 0.2458x + -495.842"
"Federal Reserve banks, credit intermediation, and related activities",0.24541767453892,-495.13015838227,"y = 0.2454x + -495.1302"
"Real estate and rental and leasing",0.245246560818173,-494.784936450664,"y = 0.2452x + -494.7849"
"State and local",0.240505303620837,-485.219450055039,"y = 0.2405x + -485.2195"
"General government",0.240505303620837,-485.219450055039,"y = 0.2405x + -485.2195"
"Electrical equipment, appliances, and components",0.238216915102679,-480.602626219655,"y = 0.2382x + -480.6026"
"Water transportation",0.237863411214547,-479.889432125349,"y = 0.2379x + -479.8894"
"Truck transportation",0.235777208471105,-475.680518090455,"y = 0.2358x + -475.6805"
"Wholesale trade",0.230652240547753,-465.340895305091,"y = 0.2307x + -465.3409"
"Government enterprises",0.228628624673447,-461.258250278679,"y = 0.2286x + -461.2583"
"Transportation and warehousing",0.218473875067105,-440.771042947885,"y = 0.2185x + -440.771"
"Rental and leasing services and lessors of intangible assets",0.21586655291081,-435.51077049756,"y = 0.2159x + -435.5108"
"Space economy1",0.211813780143845,-427.334301440207,"y = 0.2118x + -427.3343"
"Motor vehicle and parts dealers",0.202926456000869,-409.404124981753,"y = 0.2029x + -409.4041"
"General merchandise stores",0.192855296994872,-389.085561687154,"y = 0.1929x + -389.0856"
"Private industries",0.190992750447097,-385.327874027018,"y = 0.191x + -385.3279"
"Amusements, gambling, and recreation industries",0.184588496774917,-372.407292243395,"y = 0.1846x + -372.4073"
"Retail trade",0.165267465060592,-333.427110759745,"y = 0.1653x + -333.4271"
"Nursing and residential care facilities",0.164496493363178,-331.871675360211,"y = 0.1645x + -331.8717"
"Other retail",0.122007706324413,-246.150547509504,"y = 0.122x + -246.1505"
"Air transportation",0.106195795860828,-214.250018149221,"y = 0.1062x + -214.25"
"Utilities",0.102052134147814,-205.890180643216,"y = 0.1021x + -205.8902"
"Motor vehicles, bodies and trailers, and parts",-0.142917221688573,288.335494756697,"y = -0.1429x + 288.3355"
"Government enterprises",-0.187857602487969,379.002713019478,"y = -0.1879x + 379.0027"
"Legal services",-0.214012248075919,431.769710493166,"y = -0.214x + 431.7697"
"Ambulatory health care services",-0.214532625189649,432.819571320117,"y = -0.2145x + 432.8196"
"Other services, except government",-0.224547468740703,453.024518184369,"y = -0.2245x + 453.0245"
"Accommodation and food services",-0.234637419507183,473.380993855742,"y = -0.2346x + 473.381"
"Accommodation",-0.236064538844108,476.260207117988,"y = -0.2361x + 476.2602"
"Manufacturing",-0.245282041847372,494.856519427074,"y = -0.2453x + 494.8565"
"Durable goods",-0.245494394759197,495.284941426679,"y = -0.2455x + 495.2849"
"Computer and electronic products2",-0.256309162166261,517.103734670431,"y = -0.2563x + 517.1037"
"Chemical products",-0.256528056041476,517.545353063679,"y = -0.2565x + 517.5454"
"Waste management and remediation services",-0.263429430640225,531.468876316653,"y = -0.2634x + 531.4689"
"Computer systems design and related services",-0.268001223092626,540.692467589373,"y = -0.268x + 540.6925"
"Social assistance",-0.273822397933123,552.436687830076,"y = -0.2738x + 552.4367"
