"Name","Slope"
"Manufacturing",0.269762894105602
"Durable goods",0.269543410182019
"Computer and electronic products2",0.265591102691387
"Federal",0.263361462083315
"General government",0.263318317908008
"Real estate and rental and leasing",0.263014763296341
"Real estate",0.261460327297743
"Government5",0.259395995916571
"Other real estate",0.257049942859302
"National defense",0.256699912765006
"Administrative and waste management services",0.2554876588096
"Administrative and support services",0.2554876588096
"Computer systems design and related services",0.254122271171352
"General merchandise stores",0.247332390607113
"Rental and leasing services and lessors of intangible assets",0.246282282661309
"Other services, except government",0.244677261522167
"Retail trade",0.244422203434489
"Other retail",0.242462836766172
"Housing",0.227245829500307
"Educational services, health care, and social assistance",0.219327431308367
"Rail transportation",0.216783216783217
"Educational services",0.216401130973587
"Ambulatory health care services",0.216331584591021
"State and local",0.214606978670697
"General government",0.214606978670697
"Data processing, internet publishing, and other information services",0.189104148949369
"Federal Reserve banks, credit intermediation, and related activities",0.186550626811159
"Construction",0.184865956677918
"Chemical products",0.174887944489033
"Pipeline transportation",0.165632437515063
"Legal services",0.156176162143148
"Professional and business services",0.141183601678504
"Professional, scientific, and technical services",0.135058364058904
"Health care and social assistance",0.101435015558286
"Government enterprises",0.101142041841292
"Hospitals",0.0972283554711209
"Other transportation and support activities",0.094248184773512
"Space economy1",0.0859490268145299
"Other transportation equipment3",0.072360815173113
"Miscellaneous professional, scientific, and technical services",0.0678825828152316
"Securities, commodity contracts, and investments",0.0598893324142789
"Utilities",0.0535623556786762
"Truck transportation",0.0423077679348392
"Performing arts, spectator sports, museums, and related activities",0.0379195987063185
"Arts, entertainment, and recreation",0.0378861353092668
"Arts, entertainment, recreation, accommodation, and food services",0.0374565974034973
"Air transportation",0.0367368835378022
"Nondefense",0.0286390376968031
"Transit and ground passenger transportation",0.0231931803521358
"Food and beverage stores",0
"Funds, trusts, and other financial vehicles",0
"Waste management and remediation services",0
"Nursing and residential care facilities",0
"Social assistance",0
"Amusements, gambling, and recreation industries",0
"Food services and drinking places",0
"Government enterprises",0
"Transportation and warehousing",-0.000455995911487763
"Publishing industries, except internet (includes software)",-0.00959936872717376
"Private industries",-0.0111484319288324
"Motor vehicle and parts dealers",-0.0231931803521357
"Management of companies and enterprises",-0.0350112528195131
"Warehousing and storage",-0.0389723382388383
"Accommodation and food services",-0.0444115591684326
"Accommodation",-0.0444115591684326
"Petroleum and coal products",-0.0495893643930577
"Motion picture and sound recording industries",-0.0619201893468106
"Mining, except oil and gas",-0.069579541056407
"Apparel and leather and allied products",-0.0732188599314316
"Wholesale trade",-0.0795676502939148
"Finance, insurance, real estate, rental, and leasing",-0.101092233741539
"Paper products",-0.102227334376793
"Finance and insurance",-0.112622986990555
"Water transportation",-0.142028643437692
"Insurance carriers and related activities",-0.153903229290451
"Miscellaneous manufacturing",-0.163921795458878
"Printing and related support activities",-0.179653602498813
"Motor vehicles, bodies and trailers, and parts",-0.183337233820217
"Wood products",-0.191792712597934
"Textile mills and textile product mills",-0.196257761841174
"Fabricated metal products",-0.19654024589426
"Food and beverage and tobacco products",-0.197802467825379
"Machinery",-0.204255892277461
"Nondurable goods",-0.208111145323964
"Nonmetallic mineral products",-0.212382378025953
"Primary metals",-0.213994449706063
"Plastics and rubber products",-0.220138820460459
"Furniture and related products",-0.225453939459911
"Electrical equipment, appliances, and components",-0.240756434483246
"Information",-0.242903181248592
"Broadcasting and telecommunications4",-0.247008235104934
"Support activities for mining",-0.247932207447268
"Oil and gas extraction",-0.251092956500953
"Mining",-0.251686834230061
